Date,Precipitation,Temp Max,Temp Min,Wind,-
2012/01/01,0.0,12.8,41.0 F,4.710858197573892,drizzle
2012/01/02,10.9,,37.04 F,4.527452907432201,r
2012/01/03,0.8,11.7,44.96 F,2.315751645867754,r.
2012/01/03,0.8,11.7,44.96 F,2.315751645867754,r.
2012/01/04,20.3,12.2,42.08 F,4.7195430776132214,r
2012/01/05,1.3,,37.04 F,6.124592182666211,rain
2012/01/06,2.5,4.4,35.96 F,2.2169364782601364,r.
2012/01/07,0.0,,37.04 F,2.3298110997544565,r.
2012/01/08,0.0,,37.04 F,2.0116485886466333,s
2012/01/09,4.3,9.4,41.0 F,3.4399323488712548,Rain
2012/01/10,1.0,6.1,33.08 F,3.4029769933800367,rain
2012/01/11,0.0,6.1,30.02 F,5.118461920116288,sun
2012/01/12,0.0,6.1,28.94 F,1.9112228000342062,Sun
2012/01/13,0.0,5.0,26.96 F,1.310321996886421,sun
2012/01/14,nan,4.4,33.08 F,5.31317485982268,Snow
2012/01/15,5.3,,26.060000000000002 F,3.2254311411287495,Snow
2012/01/16,2.5,1.7,26.96 F,5.037201047554948,sn.
2012/01/17,8.1,,32.0 F,5.613430492603548,sn.
2012/01/18,19.8,0.0,26.96 F,5.026791998558296,sw
2012/01/19,15.2,-1.1,26.96 F,1.6274433741976657,sn.
2012/01/20,13.5,,30.02 F,2.3060793888197466,Snow
2012/01/21,3.0,8.3,37.94 F,8.211209829479442,r
2012/01/22,6.1,6.7,35.96 F,4.827987109271549,rain
2012/01/23,0.0,8.3,33.98 F,3.627628613511654,Rain
2012/01/24,8.6,,35.96 F,5.123664283655231,r
2012/01/25,8.1,8.9,39.92 F,5.4239039845176915,r.
2012/01/26,4.8,8.9,33.98 F,4.828173791898962,Rain
2012/01/27,0.0,6.7,28.04 F,1.4349084880376337,d
2012/01/28,0.0,6.7,33.08 F,2.223182146649084,rain
2012/01/29,27.7,9.4,39.019999999999996 F,4.502385453170793,Rain
2012/01/30,3.6,8.3,42.980000000000004 F,5.112907282189091,Rain
2012/01/31,1.8,,42.980000000000004 F,3.9038877781706964,r
2012/02/01,13.5,8.9,37.94 F,2.715379403361945,r
2012/02/02,0.0,8.3,35.06 F,2.6279620050173773,s.
2012/02/03,0.0,14.4,35.96 F,5.318082511474572,s.
2012/02/04,0.0,15.6,41.0 F,4.339983762412109,Sun
2012/02/05,0.0,13.9,35.06 F,2.9285234513252427,sun
2012/02/06,0.0,16.1,35.06 F,5.022804474000407,s.
2012/02/07,0.3,15.6,46.04 F,5.316800608752173,rain
2012/02/08,2.8,10.0,41.0 F,2.713811775051877,r
2012/02/09,2.5,,46.04 F,2.4214004723901192,r
2012/02/10,2.5,12.8,44.06 F,3.0223136080278077,r.
2012/02/11,0.8,8.9,42.08 F,3.431451943960436,Rain
2012/02/12,1.0,8.3,41.0 F,1.321072552563627,r
2012/02/12,1.0,8.3,41.0 F,1.321072552563627,r
2012/02/13,11.4,,39.92 F,1.4039527669668697,rain
2012/02/14,2.5,6.7,33.98 F,3.108159009594929,Rain
2012/02/15,0.0,7.2,33.08 F,1.8332123441520778,driz.
2012/02/16,1.8,7.2,37.94 F,2.136608178530995,r
2012/02/17,17.3,10.0,39.92 F,3.419381919603391,r.
2012/02/18,6.4,,39.019999999999996 F,8.114682365769367,Rain
2012/02/19,0.0,6.7,35.96 F,4.726592469783608,Sun
2012/02/20,3.0,,35.06 F,2.9072630614185333,Rain
2012/02/21,nan,10.0,46.04 F,7.509954474498371,rain
2012/02/22,8.6,10.0,37.04 F,5.913088173177714,Rain
2012/02/23,0.0,8.3,37.04 F,3.9310143733601084,Sun
2012/02/24,nan,6.7,39.92 F,3.5320348026909367,r
2012/02/25,0.0,7.2,37.04 F,6.4390229844909275,rain
2012/02/26,1.3,,30.02 F,3.430206298236866,snow
2012/02/27,0.0,6.7,28.04 F,3.0209945462312477,s.
2012/02/28,3.6,6.7,30.92 F,4.206010492215011,Snow
2012/02/29,0.8,5.0,33.98 F,7.037086870832617,sw
2012/03/01,0.0,6.1,33.98 F,3.123422359560091,s.
2012/03/02,nan,6.7,39.019999999999996 F,5.114809384770491,Rain
2012/03/03,0.0,12.2,44.06 F,7.032222590530411,sun
2012/03/04,0.0,10.6,44.06 F,5.6121458299803795,Rain
2012/03/05,6.9,,33.98 F,6.220224913239583,Rain
2012/03/06,nan,6.7,32.0 F,2.7302406224168627,sw
2012/03/07,0.0,8.9,28.94 F,2.713757679555529,s
2012/03/08,0.0,15.6,33.08 F,2.5397782072744786,s
2012/03/09,3.6,9.4,41.0 F,2.809961420935261,r.
2012/03/10,10.4,7.2,42.980000000000004 F,3.409198152457039,r
2012/03/11,13.7,6.7,37.04 F,5.835736508137458,r.
2012/03/12,19.3,8.3,33.08 F,6.222994152242291,Snow
2012/03/13,9.4,5.6,33.08 F,5.332964532731738,sn.
2012/03/14,8.6,,33.98 F,4.701681358308819,r.
2012/03/15,23.9,11.1,42.08 F,5.81928168998225,sw
2012/03/16,8.4,8.9,39.019999999999996 F,5.137991264594374,r
2012/03/17,9.4,10.0,33.08 F,3.830032068813601,snow
2012/03/18,3.6,5.0,30.92 F,2.7060665461059337,r.
2012/03/19,2.0,,30.02 F,3.021741526981193,Rain
2012/03/20,3.6,,35.96 F,6.40794333593111,rain
2012/03/21,1.3,8.9,33.98 F,2.513296890696546,rain
2012/03/22,4.1,,35.06 F,2.100484301877342,rain
2012/03/23,0.0,12.2,33.08 F,2.816181907261223,s
2012/03/23,0.0,12.2,33.08 F,2.816181907261223,s
2012/03/24,0.0,15.0,37.94 F,5.201998415662274,s
2012/03/25,0.0,13.3,35.96 F,2.7043429629675826,r
2012/03/26,0.0,,42.980000000000004 F,4.31549390708953,Drizzle
2012/03/27,4.8,14.4,44.06 F,3.811229041548961,r.
2012/03/28,1.3,10.6,44.96 F,5.919808873407025,rain
2012/03/29,nan,10.0,42.980000000000004 F,4.406777233211144,r
2012/03/30,5.6,9.4,41.0 F,4.718085121975567,r.
2012/03/31,13.2,,37.04 F,3.4041116758706695,rain
2012/04/01,1.5,8.9,39.92 F,6.810253782313616,r.
2012/04/02,0.0,16.7,39.92 F,3.121013022527078,sun
2012/04/03,nan,11.7,37.94 F,3.1296323380613993,r.
2012/04/04,0.0,10.6,37.04 F,2.1301104104996136,s
2012/04/05,4.6,9.4,37.04 F,1.814493542528954,sn.
2012/04/06,0.3,,37.94 F,2.6093674526281134,r.
2012/04/07,0.0,16.1,35.06 F,4.319148007486881,sun
2012/04/08,0.0,21.1,44.96 F,4.114930062520728,s.
2012/04/09,0.0,20.0,42.980000000000004 F,2.1290161021232987,Sun
2012/04/10,0.0,17.8,48.019999999999996 F,3.2369006658454107,rain
2012/04/11,2.3,11.1,44.96 F,2.628570873965474,r.
2012/04/12,0.5,,42.08 F,2.629131395716713,Rain
2012/04/13,0.0,,39.019999999999996 F,4.02721161726325,drizzle
2012/04/14,0.0,,37.94 F,3.018393911099262,s
2012/04/15,0.0,16.1,44.96 F,2.9344650375393537,rain
2012/04/16,8.1,13.3,44.06 F,5.8307495408108725,rain
2012/04/17,1.8,10.0,39.92 F,2.012242007508038,r.
2012/04/18,1.8,13.3,44.96 F,3.911743234332218,Rain
2012/04/19,10.9,13.9,41.0 F,2.637430845971445,rain
2012/04/20,6.6,,44.06 F,2.7236960252133366,rain
2012/04/21,0.0,20.0,39.92 F,2.3182955543798434,sun
2012/04/22,0.0,23.3,46.94 F,2.6233690306358737,r.
2012/04/23,0.0,21.7,48.019999999999996 F,3.5317266244194236,sun
2012/04/24,nan,13.9,50.0 F,2.8231942592890626,Rain
2012/04/25,10.7,16.7,48.019999999999996 F,2.603806460866393,r.
2012/04/26,3.8,,44.06 F,5.216636823431831,r
2012/04/27,0.8,,42.980000000000004 F,4.812179080540081,r
2012/04/28,0.0,,46.94 F,2.505730718707843,driz.
2012/04/29,4.3,,48.019999999999996 F,1.6093762169552772,Rain
2012/04/30,4.3,,44.96 F,8.024784758842891,r.
2012/05/01,0.5,11.7,42.980000000000004 F,6.439764156656641,r.
2012/05/02,0.5,13.3,42.08 F,2.525929647893127,r.
2012/05/02,0.5,13.3,42.08 F,2.525929647893127,r.
2012/05/03,18.5,11.1,44.96 F,3.4098609949976244,r.
2012/05/04,1.8,,42.980000000000004 F,4.605862081977236,rain
2012/05/05,0.0,13.3,41.0 F,2.3018627864611956,s
2012/05/06,0.0,17.8,41.0 F,2.423239148694807,Sun
2012/05/07,0.0,23.9,42.980000000000004 F,2.2100993732408782,sun
2012/05/08,0.0,18.3,48.92 F,3.0181547076106465,s
2012/05/09,0.0,13.3,44.06 F,3.9158698964423504,r.
2012/05/10,0.0,,39.019999999999996 F,3.031178452227047,s
2012/05/11,0.0,,39.92 F,4.331223134615143,s
2012/05/12,0.0,24.4,44.06 F,3.4225665609581344,sun
2012/05/13,0.0,25.6,48.92 F,4.238839007202132,sun
2012/05/14,0.0,26.7,55.040000000000006 F,3.8265548182520646,Sun
2012/05/15,nan,24.4,48.92 F,4.112834324598865,driz.
2012/05/16,0.0,19.4,48.92 F,3.5238273332344945,s.
2012/05/17,0.0,17.8,44.06 F,2.9333982107518595,r.
2012/05/18,0.0,,46.04 F,3.1213043940307075,r
2012/05/19,0.0,,44.96 F,1.5348948881087536,s
2012/05/20,6.4,,53.06 F,1.3151097215610374,r.
2012/05/21,14.0,,50.0 F,4.038921341923794,Rain
2012/05/22,nan,,48.019999999999996 F,4.824239189746412,r
2012/05/23,0.3,14.4,48.019999999999996 F,6.317424320679009,Rain
2012/05/24,0.0,17.2,48.019999999999996 F,3.3389159181463874,r
2012/05/25,0.0,,48.019999999999996 F,3.114290014079627,rain
2012/05/26,nan,22.2,48.019999999999996 F,3.6345720205107774,sun
2012/05/27,0.0,17.2,53.06 F,3.7215320622379395,s.
2012/05/28,0.0,,50.0 F,3.437988614660455,rain
2012/05/29,0.0,16.1,46.04 F,1.8248358454324745,s
2012/05/30,0.3,,51.980000000000004 F,1.5315335886315407,r
2012/05/31,3.8,17.8,53.96 F,2.7269261678047476,rain
2012/06/01,6.6,20.0,55.040000000000006 F,3.709550811684239,rain
2012/06/02,0.3,18.9,51.08 F,3.7248349513774346,rain
2012/06/03,0.0,,48.92 F,2.9099196070578084,s.
2012/06/04,1.3,12.8,48.019999999999996 F,3.1067230285937892,rain
2012/06/05,16.0,13.3,46.94 F,3.3299091387287048,r
2012/06/06,0.0,16.1,42.980000000000004 F,3.4367237506895343,sun
2012/06/07,16.5,16.1,48.019999999999996 F,3.5392246685179996,r.
2012/06/08,1.5,15.0,46.94 F,3.018423238083099,r.
2012/06/09,0.0,17.2,46.94 F,4.700003686859632,r
2012/06/10,nan,,50.0 F,2.9260015862511928,s
2012/06/11,0.0,23.3,50.0 F,1.813994236270005,rain
2012/06/11,0.0,23.3,50.0 F,1.813994236270005,rain
2012/06/12,nan,18.3,55.040000000000006 F,3.908750678015564,r
2012/06/13,0.0,,51.980000000000004 F,4.313929813790244,Sun
2012/06/14,0.0,17.2,50.0 F,2.709830671837619,s
2012/06/15,0.0,22.2,48.92 F,1.7020155306913605,Sun
2012/06/16,0.0,,59.0 F,4.132025572705499,Rain
2012/06/17,0.0,18.9,53.06 F,6.439184799307187,s
2012/06/18,3.0,17.2,50.0 F,3.833904706168608,Rain
2012/06/19,1.0,19.4,50.0 F,3.034951161005032,r
2012/06/20,0.0,24.4,50.0 F,3.0132216462152037,s
2012/06/21,0.0,23.9,53.06 F,2.117441216722799,s.
2012/06/22,15.7,13.9,53.06 F,1.9312814183637397,Rain
2012/06/23,8.6,15.6,48.92 F,2.512021401150154,Rain
2012/06/24,0.0,,48.92 F,2.0093240760657505,drizzle
2012/06/25,0.5,19.4,51.980000000000004 F,3.133288434265288,r
2012/06/26,0.0,18.3,51.08 F,3.415710100244363,r.
2012/06/27,nan,22.8,48.019999999999996 F,1.8100829739217885,s.
2012/06/28,0.0,22.2,53.06 F,2.535418685144844,rain
2012/06/29,0.3,21.7,59.0 F,1.9072279530275564,Rain
2012/06/30,3.0,20.0,55.94 F,2.4014111690786364,r.
2012/07/01,0.0,20.0,53.96 F,2.3356760500136957,Rain
2012/07/02,2.0,18.9,53.06 F,2.1389728629801015,r.
2012/07/03,5.8,18.3,51.08 F,6.027521710224212,r.
2012/07/04,0.0,20.6,48.92 F,3.8129061085259837,s
2012/07/05,0.0,,51.08 F,3.1016730864717643,Drizzle
2012/07/06,0.0,25.0,51.980000000000004 F,2.124133822339335,s.
2012/07/07,0.0,26.7,55.040000000000006 F,3.811399411798021,s
2012/07/08,nan,,57.92 F,2.8369601408862772,r.
2012/07/09,1.5,25.0,55.040000000000006 F,2.012375423362681,r
2012/07/10,nan,,51.980000000000004 F,2.314910304175958,d
2012/07/11,0.0,27.8,55.94 F,2.935923947782161,Fog
2012/07/12,0.0,,55.94 F,2.7091007646019514,d
2012/07/13,0.5,23.3,57.019999999999996 F,2.2059882704364484,r.
2012/07/14,0.0,25.0,59.0 F,2.2159835354073265,rain
2012/07/15,0.0,18.9,55.94 F,3.835157797397307,r.
2012/07/16,0.3,26.1,55.94 F,2.500646225939413,r.
2012/07/17,nan,,59.0 F,2.6086945861455595,s
2012/07/18,0.0,21.1,57.92 F,2.926111849387662,s.
2012/07/19,0.0,,57.92 F,2.2228648794706105,s
2012/07/20,15.2,,57.019999999999996 F,4.025177164951278,Rain
2012/07/21,0.0,23.9,57.019999999999996 F,2.319761568412917,s
2012/07/21,0.0,23.9,57.019999999999996 F,2.319761568412917,s
2012/07/22,1.0,20.6,53.96 F,3.9263507530055484,Rain
2012/07/23,0.0,,51.980000000000004 F,3.306016974920017,rain
2012/07/24,0.0,23.3,53.96 F,4.307106763276398,s.
2012/07/25,nan,26.7,55.040000000000006 F,2.6357784451742403,Sun
2012/07/26,0.0,25.6,55.040000000000006 F,2.201568497311417,drizzle
2012/07/27,0.0,18.9,57.019999999999996 F,2.814576595755942,d
2012/07/28,nan,22.2,55.94 F,1.7068517075599017,drizzle
2012/07/29,0.0,,59.0 F,2.011707654251757,Sun
2012/07/30,0.0,19.4,55.94 F,3.022580514199693,s.
2012/07/31,0.0,,57.019999999999996 F,2.810648187839464,sun
2012/08/01,0.0,23.9,55.94 F,2.201381050750477,drizzle
2012/08/02,0.0,23.3,53.96 F,2.529196704144504,s
